,sha,message,issues,files
64,909151399639768d88851677f3c05eea33c02e21,Fix timeline not disposing of template properly (#164838),,['src/vs/workbench/contrib/timeline/browser/timelinePane.ts']
65,045d3bba7dece24e232bbb9e2752cd298022de39,Fix text of IW command palette entries (#164860),,['src/vs/workbench/contrib/interactive/browser/interactive.contribution.ts']
66,3544aabd5a2b0da2cd3a6f3fa3f00759aa9d9709,Fix markdown document deleting (#164829),,['extensions/markdown-language-features/server/src/workspace.ts']
67,98f401e8b951868cb4d9830e4c9ea0aa46292a3a,Fix .ipynb extension name capitalization (#164817),,['extensions/ipynb/package.nls.json']
68,37f16a84a12562d5459eb1e33022f5926c48b143,Fixes #163931 (#164802),,['src/vs/editor/common/diff/algorithms/myersDiffAlgorithm.ts']
69,153f5c62c0351b40d15315880ca2a5feedf12745,Fix #164715. Turn cell into editing mode when there is a selection. (#164758),,['src/vs/workbench/contrib/notebook/browser/notebookEditorWidget.ts']
70,5f87632829dc3ac80203e2377727935184399431,Fix markdown server not updating documents properly on folder rename (#164752),,['extensions/markdown-language-features/server/src/workspace.ts']
71,09e3248f40dcfd22a43e1c2fabf53d0bdf729be2,Fix #164704. comment thread memory leak. (#164734),,"['src/vs/workbench/contrib/comments/browser/commentThreadWidget.ts', 'src/vs/workbench/contrib/notebook/browser/view/cellParts/cellComments.ts']"
72,942cc4b3a749eafb32cea81c84ff7877bf1d55f1,Fix #162439 (#164719),,"['src/vs/platform/userDataSync/common/abstractSynchronizer.ts', 'src/vs/platform/userDataSync/common/tasksSync.ts', 'src/vs/platform/userDataSync/test/common/tasksSync.test.ts']"
73,002db8f362071745e25f199ce44e5caf65e9a41c,Fix #162240 (#164723),,['src/vs/workbench/services/extensionManagement/browser/webExtensionsScannerService.ts']
74,e145a12888b487c4c73a83b2459600080a9c3cd4,Fix #163163 (#164721),,"['src/vs/workbench/contrib/extensions/browser/extensionEditor.ts', 'src/vs/workbench/contrib/extensions/browser/extensionsActions.ts', 'src/vs/workbench/contrib/extensions/browser/extensionsList.ts', 'src/vs/workbench/contrib/extensions/browser/extensionsWidgets.ts']"
75,f7a53c85c7ba9cd3f6df3c91be7656cb9ef09831,Fix #164617 (#164717),,['src/vscode-dts/vscode.proposed.extensionLog.d.ts']
76,d37ca50768ecdb7421c02b75a093667a9ede1a11,Fix #164606 (#164714),,['src/vs/workbench/api/common/extHostOutput.ts']
77,0ac843a716cc1d5ba4b07005bfb003d53477a63f,Tunnel: Fix host name issue (#164708),,['src/vs/platform/remoteTunnel/electron-browser/remoteTunnelService.ts']
78,c3eebaead9d3bf1cb961b91fca1b8af31990d328,Fix accidental deletion of `vscode.proposed.contribNotebookStaticPreloads.d.ts` and make sure to include the check in the `compile-build` gulp task (#164681),,"['build/gulpfile.compile.js', 'src/vs/workbench/services/extensions/common/extensionsApiProposals.ts', 'src/vscode-dts/vscode.proposed.contribNotebookStaticPreloads.d.ts']"
79,812c9bedf2b73c71cf74eba7640bf35ef55659d1,Fix cloning with specific branch (#164619),,['extensions/git/src/git.ts']
80,35270405fca1001a90f7c91f8c6068720afd3731,Fix QuickPickItem JSDoc links in vscode.d.ts (#164474),,['src/vscode-dts/vscode.d.ts']
81,ce6aa98b4a4a63cb3b20f52c1d56a4d366e85271,Fix auto-surround closes with an open character (#147187),,['src/vs/editor/common/cursor/cursorTypeOperations.ts']
82,981234442060152423e9f360b6d9f7953ec79478,Fixes #160462 (#164449),,"['src/vs/workbench/contrib/mergeEditor/browser/view/colors.ts', 'src/vs/workbench/contrib/mergeEditor/browser/view/editors/codeEditorView.ts', 'src/vs/workbench/contrib/mergeEditor/browser/view/editors/inputCodeEditorView.ts', 'src/vs/workbench/contrib/mergeEditor/browser/view/media/mergeEditor.css']"
83,f4d9b1d53db3118f3be5e5efaf83affab670502b,Fixes #161998 (#164444),,"['src/vs/workbench/contrib/mergeEditor/browser/view/colors.ts', 'src/vs/workbench/contrib/mergeEditor/browser/view/media/mergeEditor.css']"
