SHA,Message
d0e967789c3064d66c0de14104a3ed171d88510a,Removing the check on the log service
46bab7505cf644c79e74970a7094677c38c4554e,let builds use `transpile-client-swc`
bff1a71d6acaf663cff415149ea1b2ab8aa88177,Changes from review
34a64c357ac6d0eb1ba819e32b4f29e7c43a1fe5,Removing space
50e34c9f3e63ab8094fbb275a4e7f9db28c6cce1,Only persist terminals when they have had interaction
31a056ea899e25046173682bc464f7e13d11d2aa,Resolving certain (not all) changes
032662071cc1ae9090dab700a38e9add16a180fa,openIntegration test failure: openTextDocument
acca54f4c3d7ffcfd806291b7ea50805805bd514,use interface
8cd928db8bc005da3e22ce67d653e326b68b7c43,2nd attempt at a valid copyright statement for `hygiene`
7f9a373e4e9fdf3948c92ef623d0e4ab51cec1db,fix errors reported by `hygiene`
95ef9dd07efe14e198b09b2acf4bd37c93c20869,add `--locate-shell-integration-path` CLI support
28c2fe134fa116b5fea4e3156680f14b33977899,updating spdlog
0b5cef4f76cf8217d64123adb5b68fbff0873410,Remove shell decoration icon settings
ff92ad573f4341eb2b01cb07d7c8cf0e4edfabeb,chore: bump electron@19.0.11
92697ad31b594d6b33df0545dda1859d3fae560e,ci: fix armhf debian dependencies
2cf9834d650b356c4a314df22f7d07c4808e4353,ci: update armhf debian dependencies list
82f6cbd6b5755f856951f4f011e41c0ed95990f0,ci: update amd64 debian dependencies list
b7e713947e09c9f2625cc7904f5ebd8b7b5f97a3,ci: remove hardcoded chromium version and sysroot file
cdf6e9902074dc26c611ffa87a9a58e0a0d0ed05,ci: don't restore stale cache
0f48e3145a7ccd8af3dea3e458e017eaf5c5ba38,âš—ï¸ Add unit tests for sanitizeFishHistoryCmd function
07feb2bbd328d7b71d0576c6a0313b4b047c71bd,chore: bump electron@19.0.10
02dd789283f7c89d1cb15e654d52007d877920c8,Changing the color of the sticky scroll so it is of the same background as editor and on hover it has the list hover color from the registry
58dd7331a203211ea0a2ad99dbcdd2410c816e62,Update src/vs/workbench/contrib/bracketPairColorizer2Telemetry/browser/bracketPairColorizer2Telemetry.contribution.ts
d53f4c55443653a8ff20b1f1034d09ccf324adde,Improves performance of bracket pair colorization
5f885d701d200554f15fcad540539aa22f8a5efe,Aligned the number in the margin
2705b50c359351e60a17c3bf24724e281e360a2e,Replace the deprecated canceled with Cancellation Error.
86e741027897bde6587d0d13205b88ce2996b53f,unit tests - help diagnose test failure reason for web tests (#155967)
7d352660c2d165bf5fb6a9ec273ba0a167932716,code clean up and addressing comments
52414c4084de28025dd4cea6e11a5cd25fb6b392,Remove --shell-integration from --help
5ae2a59a6d4a4a2707bfa2dc7969c1270a36c353,smoke test - only warn when `treekill` fails (#155577)
36f146381b492063f1ec0606e192aa2b580dcb34,editors - add capability to control centered layout (fix #154738) (#155565)
da2a1796913c82eee73ee461f430f152e299829d,bring zoomable title bar to macos (#155354)
4b0d6f3bbcd9630d97a0622e2ed41af29054183b,Support find widget in lists/trees (#152481)
ed81603169922e874c0a690d8659024e0f89bd90,Update breadcrumbs when workspace folders update (#154616)
955991d7f73ed4ca053524452c74cf79d2dc2dce,chore: update electron@18.3.5 (#155452)
78397428676e15782e253261358b0398c2a1149e,check if values are true not just undefined (#155348)
338a23f713453e02b07c51d10e6a0d569760cc0b,formatting
d4fd368fdfc93d924cde0472bc5af47307a0edc5,system context menu on Windows
070f29955dab61b069e07d7dc15b36e325f15fac,send `workbenchActionExecuted` from CC to measure its success (#155297)
ccba8ca4370694000bb6cf9fb3afe0e3ebd33175,track usage of snippets to support snippet LRU (#155289)
171537fd736f214405c1d8d45e03c7677b438d66,fix command not found warning (#155250)
50229828292ccc02a8270aed44c7b70c20ead95c,Settings editor - Boolean setting description should take up the full width instead of just 60% (#155195)
9ce77765dde9b92524209cc75832e4c3068a6810,add application to restricted settings (#155143)
63c044b46236fdc2bf1f90131deb8e5d38b23e0b,Add configure decorations ctx menu entry
50056f3e78836797a68f6e8a9792c8b415f23ebe,Finalize drop into editor api (#155102)
f0f5152fce6668d6d742613dfae45c1895f685c9,Remove accidental log
47a1f80c6531121a8ef450a980451f96a4a7e047,Adding keepLines feature to the settings (#154790)
c71e78d3d6f53bde241dc9f3d5f4a1972bc5a75b,fix CSP for webWorkerExtHostIframe and also fix URL construction (#154899)
f44c00cac8fbe5c66d0715360b4952358b358299,Download policy translations for previous version if current version fails (#154892)
2638da77806dea39584c2fb824e68b2618f9f1b1,do not scan web extensions in desktop (#154851)
9f3a127b4159e55860d9ffb6db71f1e259dddc06,xterm@4.20.0-beta.12
01afe20df1528a169144cbf33817281939f9c0b7,fixes #154840 (#154841)
1076bf59ddc7966e3a3f3585b2114b7f9038dc68,add task quick pick smoke tests (#154532)
75bc124fe92fe08a31afb41cac0eed9135abbfde,Remove todo
5b288e119180046a1e00003357293c8ee04a4782,Improve tasks localized strings
c137fb2ef769f7d34e7a2f5b3ef94774ffdbb8f5,Better TypedArray type checking (#153929)
ca5430942daf044b8f40545f6811d21173a84591,broadcast profiles changes to other windows (#154782)
30b6e1a9b73ba25980f0f665ac738e8da4372f28,Pick up latest TS nightly for building VS Code (#154821)
ada844686bb002d3ff4003bba5748b608fec0219,Button - Do no change the style on focus/blur if the button is disabled (#154253)
82687c84ee4547871f698be5637ebf44ed7a9408,Add hook for extending built-in html renderer (#154316)
6701dd54d6d2f8e3a140551a28d1787387c158b0,SCM - Commit action button accessibility improvements (#154817)
51ae229d95023dbc1e191b7614f8c566f9db037c,Move telemetry test from electron-browser to browser (#154805)
6d71bae80763122910da47f9c09553078a66117c,Remove onDidChangeName proposed API
e209a0967f786f2b29cca012e97d6dcd853fbe79,fix tests...
d90edae487aaa27d7501f24038c1bf7b3afe3859,use request service from main
4dc9d90a61fa84580d4b77fec8bdcb4acfb70ff1,make to react properly to storage change events
5d18f94bb0fc89fdc2b2bbb43a6be0cc1a039370,Git - Maintain spaces in the arguments (#154685)
099759c8a7605a7407b8a1fffce0bacf0a7757c8,Apply bracketed paste mode on text send to the terminal
b813ee14978cb3ad50c8b37800eea5821f7cd64a,Update xterm
a658bc96881e9b2438d6cbd8f49d5d5a2a61a10b,Add inTerminalRunCommandPicker context key
e6a60c37d705a25d3875f2e89c5ad551fd846cd9,Use `idToken` for edit sessions (#154534)
d7de53f956a9300e9608c48a7728371f05a8a8ba,add `vscode-coi`-search-param when making requests for the webview and its worker
ac70882663dd94883d9b86579b408df02aa3af24,:lipstick:
db734e88c12b9f078b79d33abffc25b0fed1a408,Bump version to 1.70 (#154371)
f7f3f48049934cf5d3a060aa911dafed5046500c,Mention icon in terminal icon/color settings
ce8b7a9c132b49a74d9ab7f4373ae57b3402755d,bump distro (#154344)
ffdb7543feb9abccee23d2b3064bb5bd3d8593a7,Correct conditional calling func instead of comparing
d5d6e089978695d51760b35a64510d8d0e999534,Add command to copy output of the last command (#152097) (#153235)
891fa893646795ec4995dc29f7c8ad76efbca312,Add copy command to command decoration menu
1aaff9ef3d1f779e0ff2322c1d5b4c4a03f6d8cb,stub `activationEventIsDone` function
12710c6cfe64785140be33880c1be86290ede0ea,Properly display the warning message
585b6685dda19344ec0304331f294f1c5f9efe24,remove forEach usage (#154259)
2f5975cb43b72e6795d0ee75788151a6f7b087e3,Relative -> absolute path
01d119a39c9ee60cb834d90b6d8e561b97bb91bb,select the symbol under cursor when opening quick pick (#154247)
7c346e113b4cff07019139de115cc72005819383,make sure document outline uses the code editor service from the current (code) editor
25cf08709abc75b73db7732ff03800189ca9cff9,Add ellipsis to recent command/dir commands
57609a19dad75b0c1fa324578888fa0ceedb53e7,Git - Update commit button icon and tooltip based on branch protection (#154101)
498ae4deadf15da690175d7c3a2bc848ec36928b,Improves observable tests.
32406a71579a58a5f32cbbe593b3bd8d653bea17,Debt - Prevent icon translations (#154094)
b2d1f531341fa9416a7f5d3c8ce2226e0e43e8b8,make CC be two special `MenuEntryActionViewItem` instances and style them as one
d63c49ea080b51b65b73d348f2a09432ed4caab7,push workaround for https://github.com/microsoft/vscode/issues/154083 (#154084)
cdc1920447dc5d857ec947981f79a21674dcaa74,introduce immediate update (#154082)
61188536ed77f5515346560db34f4046ab646d45,debt - add `Event#fromObservable` to bridge between observables and emitters (#154069)
496d4b2c1f62db770a832847ac64251d09d506d3,enable import/export profiles actions in no profile mode (#154022)
32037c7e96c7396e27a04f7565be9760dffa4e34,Add a flag to honour the  config when calling applyEdit form an extension
3559a3c34edd8fb01eb803ec0c63995dbe6d6329,Process explorer: indicate extension host better (fix #150820) (#154043)
f4ab3480cbd3d549b020ba04e37eaa66190db176,have edit sessions use ILocalizedString (#153933)
c82dacd0b4a2fd4d88ad30338749955192fc8cb3,Correct id type
1c793dfac8b6da321ffd498a530332ebe3b740b8,Adds menu separator.
cc2593c288f2daf7b7870571fffd3134435a00a1,fixes #152430
229c927bd7d740ca3e747a15a018256186916896,Only inherit parent task icon if it's not set
82eb075ad3a8b2aa7f18d95314019197bb416143,Removes NLS string concatenation.
8fd6e38eee1ec714b9c1882fdd1c65c518f8373d,Do not store empty edit sessions (#153599)
165faf8e5333ae8ac2b0f881f2494ffe282d28e6,Polish shell integration failure hover
3aa87adc4365c37d46d03b3f3d6ce166c7c6356b,merge editor - fix URI check for view state (#153416)
57749636a42cacd26934c279cd360fb904a1675f,update simple find widget to use modified search addon return result (#153264)
2219a2c5adf83f09a34f1fa7ad304e983f3e6fa4,Quick Access For Loaded Scripts (#152680)
d1dd57e3c93ce6bf0c051d931cdc3fa1abf6fc15,Remove duplicate declarations in terminal (#153280)
f148d86fd2894d42913b99bc1e0b7c200a5d7250,"Add ""Do Not Disturb"" Mode (#149645)"
36f67de44f9dfc40746b31e5cbc0a27c21e0f39f,reset only map
4e102e65da2787dc3de69a530e244b2295e1ae10,More granular TerminalExitReason
09c5a6ed48269c3af355a6b9722e6eb36111a469,fix menubar visibility events when moving menubar (#153179)
551cf462042343ead36317d5923064cd95aab3d2,use extension id as key not folder name which is more accurate (#153178)
ba9b33b9d31e2b97e6c8d017bdd65476b880ee22,Dispose quickpick after it resolves (#153177)
80a32bdf05bd4f402b7fe34528adcc70c7a53061,ðŸ†™distro (#153175)
a1ba0cbfddd6b72ae44e0d5c81dc4fc04266979e,force primary click on dropdowns (#153176)
3b549009fe133f5b98f1fd9c8d3116dbd033dbe9,Markdown path completions tests use mocked out fs (#153045)
b642e561cdaf41a8c62ef0cf413528a7e1f647b6,Manually recover from a missing `mouseleave` or missing `mouseout` event (#153112)
63bc558a5502d4f1e807c2568a72daf57345981a,Moves helper function `h` to base/browser/dom
1e10d01f5a65fdc36a4c1570affa0b45464460ab,fix deleting profiles and clean up default extensions profile (#153047)
36b313c6a6180e85994270d7d2e125d8a2cbf0a6,fix #153033 (#153042)
9cd2caf854e05eae23290e3ed0be52332021e959,Always add a fallback to the editor font family (#153043)
c07b55752e0018e455d24b9d24887211682abaf5,Change name of setting to allowMidWordMatch
3d6ab7cfe6d7ea8fc4170ef27bd82fbf16431692,passing test for https://github.com/microsoft/vscode/issues/152882 (#152998)
